,name,company,year,Price,kms_driven,fuel_type,company_name
0,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol,Hyundai
1,Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel,Mahindra
3,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000,28000,Petrol,Hyundai
4,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,575000,36000,Diesel,Ford
6,Ford Figo,Ford,2012,175000,41000,Diesel,Ford
7,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,Hyundai
8,Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000,24530,Diesel,Ford
9,Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol,Maruti
10,Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000,60000,Petrol,Skoda
11,Maruti Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol,Maruti
12,Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol,Hyundai
13,Mahindra Scorpio SLE BS IV,Mahindra,2015,320000,48660,Diesel,Mahindra
14,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol,Hyundai
15,Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel,Mahindra
16,Audi A8,Audi,2017,1000000,4000,Petrol,Audi
17,Audi Q7,Audi,2014,500000,16934,Diesel,Audi
18,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Mahindra
19,Maruti Suzuki Alto 800,Maruti,2014,160000,35550,Petrol,Maruti
20,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Mahindra
21,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel,Mahindra
22,Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000,39000,Petrol,Maruti
23,Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol,Hyundai
24,Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol,Hyundai
25,Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol,Hyundai
26,Maruti Suzuki Alto 800 Lx,Maruti,2017,190000,72000,Petrol,Maruti
27,Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,290000,15975,Diesel,Maruti
28,Maruti Suzuki Alto LX,Maruti,2008,95000,70000,Petrol,Maruti
29,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,Mahindra
30,Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel,Maruti
31,Mahindra Scorpio S10 4WD,Mahindra,2015,250000,48508,Diesel,Mahindra
32,Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol,Maruti
33,Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol,Maruti
34,Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol,Maruti
35,Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,650000,82000,Diesel,Toyota
36,Renault Lodgy 85 PS RXL,Renault,2018,689999,20000,Diesel,Renault
37,Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,448000,68000,Diesel,Skoda
38,Maruti Suzuki Baleno Delta 1.2,Maruti,2017,549000,32000,Diesel,Maruti
39,Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000,38000,Diesel,Renault
40,Renault Duster 85 PS RxE Diesel,Renault,2013,489999,27000,Diesel,Renault
41,Honda City 1.5 S MT,Honda,2011,280000,33000,Petrol,Honda
42,Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol,Maruti
43,Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel,Maruti
44,Honda Amaze,Honda,2013,284999,46000,Diesel,Honda
45,Honda Amaze 1.5 SX i DTEC,Honda,2015,345000,36000,Diesel,Honda
46,Honda City,Honda,2015,499999,55000,Petrol,Honda
47,Datsun Redi GO S,Datsun,2017,235000,16000,Petrol,Datsun
48,Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999,36000,Petrol,Maruti
49,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000,47000,Diesel,Mitsubishi
50,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,Mahindra
51,Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel,Maruti
52,Mahindra Scorpio S10 4WD,Mahindra,2015,250000,48508,Diesel,Mahindra
53,Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol,Maruti
54,Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol,Maruti
55,Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol,Maruti
56,Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel,Mahindra
57,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,220000,30874,Petrol,Maruti
58,Honda City ZX CVT,Honda,2017,170000,15000,Diesel,Honda
59,Maruti Suzuki Wagon R LX BS IV,Maruti,2013,85000,29685,Petrol,Maruti
60,Ford Figo,Ford,2012,175000,41000,Diesel,Ford
61,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,Hyundai
62,Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000,130000,Diesel,Tata
63,Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000,24530,Diesel,Ford
64,Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000,130000,Diesel,Tata
65,Mahindra Scorpio SLE BS IV,Mahindra,2012,570000,19000,Diesel,Mahindra
66,Volkswagen Polo Highline Exquisite P,Volkswagen,2014,315000,60000,Petrol,Volkswagen
67,Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000,60000,Petrol,Skoda
68,Maruti Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol,Maruti
70,Chevrolet Spark LS 1.0,Chevrolet,2010,110000,41000,Petrol,Chevrolet
71,Renault Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel,Renault
72,Honda City,Honda,2015,448999,54000,Petrol,Honda
73,Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol,Mini
74,Datsun Redi GO S,Datsun,2017,235000,16000,Petrol,Datsun
75,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel,Skoda
76,Honda Amaze,Honda,2015,344999,22000,Petrol,Honda
77,Honda Amaze,Honda,2015,344999,22000,Petrol,Honda
78,Renault Duster,Renault,2014,449999,50000,Diesel,Renault
79,Mini Cooper S 1.6,Mini,2013,1891111,13500,Petrol,Mini
